#          chi2            h           Omegam           Omegak          
        804.616        0.596101        0.586036        0.250581 
        740.958         0.59993        0.576157        0.235982 
        488.855        0.611417        0.612546         0.24003 
        359.882        0.621647        0.700832       0.0778602 
        334.386        0.622102        0.754181        0.107503 
        317.446        0.624137        0.730226        0.121526 
        269.239        0.630261        0.735985        0.115528 
         258.75        0.631532        0.699907        0.144393 
        214.211        0.638801        0.673699        0.144772 
        193.003        0.645095        0.675559        0.196316 
        193.426        0.645516        0.667122        0.235052 
        187.913        0.643442        0.627296         0.22669 
         160.35        0.654835        0.647451         0.14524 
        139.407        0.654752        0.593479        0.108783 
        120.504        0.661235        0.570937        0.109894 
        109.682        0.663015        0.542319        0.112553 
        92.6065        0.668965        0.474666        0.201938 
        87.8521        0.674077        0.492917        0.124838 
        78.8189        0.676874        0.449225        0.171331 
        76.0933        0.675082        0.447295        0.162096 
        75.2833        0.669939        0.415376        0.116911 
        72.6926        0.679104        0.425182        0.185421 
        67.5649         0.67984        0.408321         0.19256 
        66.3883        0.684565         0.37929        0.226872 
        53.5513         0.67921        0.352879        0.211528 
        38.8822        0.688686         0.30653        0.183076 
        33.6393        0.693409        0.252975         0.23198 
        32.0872        0.702294        0.231852        0.181624 
        30.1577        0.705157        0.243857       0.0862787 
        29.9804        0.703581        0.242621        0.109767 
        29.8394        0.697095        0.228876        0.183326 
        30.4866        0.697187        0.233126         0.20471 
        31.5521        0.697155        0.239812        0.209947 
        31.1925        0.694882        0.215225        0.206246 
        30.1004         0.70266        0.180945        0.212452 
        30.2529        0.701713        0.166161         0.24973 
        35.6273        0.708242        0.118985        0.262317 
        33.2998         0.69966        0.135163         0.29089 
        33.1149        0.702773        0.122596        0.299588 
        30.3598        0.699539        0.134983        0.357341 
        32.0394        0.702745        0.130503        0.296216 
         34.633        0.703322        0.088583        0.364882 
        33.2679        0.705594        0.112341        0.323398 
        30.2901        0.698703         0.18431        0.289492 
        31.1517        0.702035        0.182673        0.268884 
        29.7456        0.699434        0.177203        0.274028 
        30.3526        0.698484        0.186964         0.22542 
        30.2334        0.696245        0.207296        0.256523 
        29.8128        0.698895        0.199911        0.205105 
        29.6891        0.701483        0.213243        0.186649 
        30.6751        0.702108        0.239858        0.148463 
        33.3055        0.692342        0.288187       0.0930423 
        34.1336        0.700378        0.316028       0.0432495 
        31.7191         0.69429        0.281068       0.0937218 
        33.9379        0.695028        0.305616        0.105824 
        32.2495        0.698353        0.268166        0.147658 
         31.496        0.696397        0.222999        0.158311 
        30.2489        0.704269        0.207093        0.132377 
        30.1636        0.704569        0.206809        0.159213 
        30.2872        0.696216        0.229266        0.176633 
        32.4733        0.693238        0.273653        0.110397 
        31.7628        0.694274        0.279893        0.125676 
        32.4194        0.703581        0.241591        0.149423 
        30.3039        0.698065         0.22391        0.215031 
        32.2064        0.700154        0.226188        0.219304 
        30.0812         0.70267        0.203015         0.15369 
        29.6553        0.700345        0.224246        0.177799 
        29.4835        0.701307        0.265094       0.0763869 
        30.0324         0.70197        0.276509       0.0608067 
         30.236        0.703932        0.280301       0.0336064 
        30.4982        0.698745        0.323615      -0.0252644 
        36.1792        0.701296        0.312385       -0.130918 
        37.7605        0.702056        0.309797       -0.144413 
        30.9368        0.699968        0.323871      -0.0816067 
        30.5305        0.702569         0.36893       -0.177765 
        30.0417        0.705359        0.349998       -0.162639 
        31.2032        0.699667        0.368797       -0.136924 
        31.2934        0.705167        0.380534       -0.191614 
         30.998        0.703141        0.378226       -0.218781 
        32.3105        0.705657        0.422918       -0.285869 
        32.0059        0.707911        0.400706       -0.261888 
        31.1482        0.706066        0.382817        -0.26398 
         33.546         0.70472        0.375602       -0.271648 
        32.2479        0.706026        0.382882       -0.283446 
         31.991        0.710039        0.397941       -0.289397 
        31.5418        0.707646        0.403659       -0.319136 
        32.3127        0.712393        0.381813       -0.303847 
        31.7667        0.709919        0.403018       -0.332843 
        32.6018        0.712257        0.390035       -0.336601 
        32.0659        0.710594        0.396398       -0.334053 
        34.3849        0.703063        0.396108       -0.298873 
        33.5673        0.701221        0.442063       -0.281998 
        32.9803        0.701572        0.441392       -0.311477 
        32.6005        0.702841        0.425278       -0.318605 
        35.2645        0.713908        0.424881        -0.36179 
        35.3419        0.712987        0.410799       -0.313346 
        32.3514        0.710297        0.431219       -0.386798 
        32.8998        0.709368        0.420238       -0.314343 
        35.0361        0.704809          0.4333       -0.263426 
        34.2111        0.704953        0.400835       -0.196362 
        30.3292        0.704316        0.362937       -0.189402 
        31.8268        0.706761        0.381606       -0.203208 
        31.7025        0.702042        0.382864       -0.226418 
        30.1046        0.705519        0.345347       -0.165837 
        31.8064        0.700062        0.390098       -0.173403 
        32.8546        0.697128        0.369674       -0.138545 
        31.9592        0.699094        0.385986       -0.159797 
        31.7432        0.701903        0.362967       -0.108227 
        34.2495        0.708297        0.304159        -0.16542 
         31.187        0.708767        0.314286       -0.151325 
        33.7834        0.698274        0.392778       -0.127924 
        34.2785        0.697053        0.385453      -0.0961272 
        30.6047        0.704391        0.370281       -0.175273 
        31.7805        0.700705        0.383706       -0.153935 
        31.2069        0.702037        0.345434       -0.154696 
        32.9125        0.701994        0.368515       -0.105435 
         32.516        0.705706        0.318706       -0.159019 
        32.3112        0.711956        0.308101       -0.125846 
        31.4518         0.70471        0.346876       -0.192288 
        34.7148        0.712326        0.317087       -0.219517 
        31.0204        0.708582        0.351766       -0.222228 
        32.2483        0.708556        0.319801       -0.179334 
        31.0358        0.709758        0.329682       -0.177638 
         30.255        0.705097        0.355795       -0.184885 
        31.5935         0.70876        0.297817       -0.123563 
        30.1543        0.704063        0.356321       -0.168431 
        30.2099        0.703518        0.360196       -0.164094 
        31.5243        0.700938        0.387419       -0.207568 
        31.2913        0.701971         0.38781       -0.220597 
        34.4091        0.698381        0.405993       -0.153026 
        30.2511        0.703785        0.358207       -0.150326 
        30.5472        0.704829        0.352641         -0.1355 
         32.411        0.701686        0.364361      -0.0994765 
        33.3854        0.709926        0.335271       -0.123141 
        33.6179        0.705316         0.31661       -0.161807 
        34.2592        0.712405        0.295805       -0.166885 
        33.2881        0.708291        0.375794       -0.189382 
        31.6534        0.700499         0.37031       -0.119238 
        29.8631        0.703337        0.318005      -0.0916524 
        30.8489        0.701389        0.313485      -0.0816542 
        31.4391        0.701811          0.3141      -0.0969721 
        32.0083        0.710061        0.282579      -0.0990641 
        32.3181         0.71173        0.278121      -0.0721944 
        31.3581        0.706428         0.27916      -0.0675607 
        30.0911        0.701994        0.323153      -0.0907412 
        29.5705        0.703278        0.314991      -0.0677298 
        35.0542        0.714209        0.305684       -0.117899 
        31.2408         0.71021        0.299842       -0.101109 
        31.3387        0.710104        0.337193        -0.16651 
        30.0585        0.705467         0.34538       -0.143578 
        32.6037        0.696468        0.347548      -0.0866964 
        32.1158        0.703127        0.294557      -0.0807974 
        30.9804        0.703173        0.342599       -0.083974 
        31.0329        0.707746        0.338189       -0.131319 
        31.8113        0.705277        0.380839       -0.183767 
        32.9113        0.713429        0.332516       -0.198185 
        30.4739        0.707753        0.327391       -0.122506 
        30.4559        0.707737        0.356168       -0.200748 
        31.4877        0.701562        0.394622       -0.225825 
        34.1366        0.697208         0.39108       -0.196493 
         33.223        0.700634        0.396218       -0.251904 
        31.5613         0.70246        0.406425       -0.255828 
        35.3065        0.696052        0.418771       -0.227663 
        38.4615        0.693921        0.438501       -0.171004 
        40.5096        0.699032        0.405348      -0.0958106 
        38.4066        0.699033        0.355978       -0.203587 
        37.7245        0.698758         0.32838       -0.141962 
        35.7925        0.695584        0.355658       -0.129856 
